day,x,y,z
222,-1.5201157258735625E13,-1.1019168626410889E12,2.0887733220756523E7
223,-1.5269293373053828E13,-1.1067510165297725E12,2.094452011617041E7
224,-1.5337429483112348E13,-1.111585170109648E12,2.1001307006695833E7
225,-1.540556558894911E13,-1.1164193233834937E12,2.1058093892380442E7
226,-1.5473701690601533E13,-1.121253476354051E12,2.1114880773271207E7
227,-1.5541837788106543E13,-1.1260876290240247E12,2.1171667649414428E7
228,-1.560997388150058E13,-1.1309217813960833E12,2.1228454520855762E7
229,-1.5678109970819604E13,-1.13575593347286E12,2.128524138764022E7
230,-1.5746246056099105E13,-1.1405900852569536E12,2.1342028249812186E7
231,-1.5814382137374115E13,-1.1454242367509282E12,2.1398815107415427E7
232,-1.5882518214679207E13,-1.1502583879573145E12,2.1455601960493103E7
233,-1.5950654288048512E13,-1.1550925388786104E12,2.151238880908778E7
234,-1.601879035751572E13,-1.1599266895172812E12,2.156917565324144E7
235,-1.6086926423114094E13,-1.1647608398757607E12,2.1625962492995493E7
236,-1.6155062484876469E13,-1.1695949899564512E12,2.168274932839078E7
237,-1.6223198542835268E13,-1.174429139761724E12,2.1739536159467597E7
238,-1.62913345970225E13,-1.179263289293921E12,2.1796322986265685E7
239,-1.6359470647469775E13,-1.1840974385553528E12,2.1853109808824264E7
240,-1.6427606694208309E13,-1.1889315875483025E12,2.1909896627182018E7
241,-1.6495742737268924E13,-1.1937657362750234E12,2.1966683441377122E7
242,-1.6563878776682062E13,-1.198599884737741E12,2.2023470251447245E7
243,-1.663201481247779E13,-1.2034340329386526E12,2.2080257057429556E7
244,-1.67001508446858E13,-1.2082681808799287E12,2.2137043859360732E7
245,-1.6768286873335426E13,-1.2131023285637124E12,2.2193830657276973E7
246,-1.6836422898455639E13,-1.2179364759921208E12,2.2250617451214008E7
247,-1.6904558920075059E13,-1.222770623167245E12,2.23074042412071E7
248,-1.697269493822196E13,-1.2276047700911504E12,2.2364191027291056E7
249,-1.7040830952924277E13,-1.232438916765877E12,2.2420977809500232E7
250,-1.7108966964209604E13,-1.2372730631934402E12,2.2477764587868545E7
251,-1.7177102972105207E13,-1.242107209375831E12,2.2534551362429474E7
252,-1.7245238976638027E13,-1.246941355315017E12,2.259133813321608E7
253,-1.7313374977834688E13,-1.2517755010129417E12,2.2648124900260996E7
254,-1.7381510975721494E13,-1.256609646471525E12,2.2704911663596448E7
255,-1.7449646970324443E13,-1.2614437916926648E12,2.2761698423254255E7
256,-1.7517782961669229E13,-1.266277936678236E12,2.2818485179265834E7
257,-1.7585918949781238E13,-1.2711120814300918E12,2.2875271931662217E7
258,-1.765405493468557E13,-1.275946225950063E12,2.293205868047404E7
259,-1.7722190916407027E13,-1.2807803702399595E12,2.2988845425731566E7
260,-1.779032689497013E13,-1.2856145143015698E12,2.3045632167464685E7
261,-1.785846287039911E13,-1.290448658136662E12,2.310241890570292E7
262,-1.7926598842717926E13,-1.2952828017469834E12,2.3159205640475422E7
263,-1.799473481195026E13,-1.3001169451342612E12,2.3215992371811002E7
264,-1.8062870778119535E13,-1.304951088300203E12,2.327277909973811E7
265,-1.8131006741248895E13,-1.309785231246496E12,2.332956582428485E7
266,-1.8199142701361227E13,-1.3146193739748098E12,2.3386352545479E7
267,-1.826727865847916E13,-1.3194535164867935E12,2.344313926334799E7
268,-1.8335414612625074E13,-1.3242876587840784E12,2.349992597791893E7
269,-1.8403550563821094E13,-1.329121800868277E12,2.3556712689218603E7
270,-1.8471686512089098E13,-1.3339559427409841E12,2.3613499397273473E7
271,-1.8539822457450727E13,-1.3387900844037764E12,2.3670286102109697E7
272,-1.860795839992738E13,-1.343624225858213E12,2.3727072803753115E7
273,-1.867609433954022E13,-1.3484583671058357E12,2.3783859502229266E7
274,-1.8744230276310176E13,-1.3532925081481694E12,2.3840646197563395E7
275,-1.8812366210257953E13,-1.3581266489867222E12,2.3897432889780447E7
276,-1.888050214140403E13,-1.3629607896229854E12,2.395421957890508E7
277,-1.8948638069768664E13,-1.3677949300584343E12,2.401100626496166E7
278,-1.9016773995371887E13,-1.372629070294528E12,2.4067792947974283E7
279,-1.908490991823352E13,-1.3774632103327097E12,2.412457962796676E7
280,-1.915304583837317E13,-1.382297350174407E12,2.4181366304962635E7
281,-1.9221181755810242E13,-1.387131489821032E12,2.423815297898517E7
282,-1.928931767056392E13,-1.391965629273982E12,2.4294939650057383E7
283,-1.93574535826532E13,-1.396799768534639E12,2.435172631820201E7
284,-1.9425589492096863E13,-1.4016339076043704E12,2.440851298344155E7
285,-1.9493725398913504E13,-1.406468046484529E12,2.4465299645798232E7
286,-1.956186130312151E13,-1.4113021851764534E12,2.4522086305294048E7
287,-1.962999720473909E13,-1.4161363236814678E12,2.4578872961950734E7
288,-1.969813310378425E13,-1.4209704620008826E12,2.4635659615789793E7
289,-1.9766269000274816E13,-1.4258046001359946E12,2.4692446266832486E7
290,-1.983440489422843E13,-1.4306387380880872E12,2.4749232915099837E7
291,-1.990254078566255E13,-1.43547287585843E12,2.4806019560612638E7
292,-1.9970676674594453E13,-1.4403070134482798E12,2.486280620339146E7
293,-2.0038812561041242E13,-1.4451411508588801E12,2.4919592843456637E7
294,-2.010694844501984E13,-1.449975288091462E12,2.4976379480828293E7
295,-2.0175084326547004E13,-1.4548094251472434E12,2.5033166115526322E7
296,-2.0243220205639316E13,-1.4596435620274304E12,2.5089952747570414E7
297,-2.031135608231319E13,-1.4644776987332163E12,2.514673937698004E7
298,-2.0379491956584883E13,-1.4693118352657825E12,2.520352600377446E7
299,-2.044762782847048E13,-1.4741459716262983E12,2.5260312627972733E7
300,-2.0515763697985906E13,-1.4789801078159214E12,2.531709924959371E7
301,-2.058389956514693E13,-1.4838142438357976E12,2.537388586865604E7
302,-2.0652035429969164E13,-1.4886483796870613E12,2.543067248517818E7
303,-2.0720171292468062E13,-1.4934825153708357E12,2.548745909917839E7
304,-2.078830715265893E13,-1.498316650888233E12,2.554424571067473E7
305,-2.0856443010556918E13,-1.5031507862403535E12,2.560103231968508E7
306,-2.0924578866177027E13,-1.5079849214282878E12,2.5657818926227126E7
307,-2.099271471953412E13,-1.512819056453115E12,2.5714605530318376E7
308,-2.1060850570642906E13,-1.5176531913159036E12,2.577139213197615E7
309,-2.1128986419517957E13,-1.522487326017712E12,2.5828178731217593E7
310,-2.11971222661737E13,-1.5273214605595876E12,2.5884965328059666E7
311,-2.126525811062442E13,-1.5321555949425686E12,2.5941751922519162E7
312,-2.1333393952884273E13,-1.5369897291676824E12,2.5998538514612697E7
313,-2.1401529792967273E13,-1.5418238632359465E12,2.605532510435672E7
314,-2.14696656308873E13,-1.5466579971483691E12,2.611211169176751E7
315,-2.1537801466658105E13,-1.5514921309059482E12,2.6168898276861183E7
316,-2.1605937300293305E13,-1.5563262645096724E12,2.622568485965369E7
317,-2.1674073131806387E13,-1.5611603979605208E12,2.6282471440160815E7
318,-2.1742208961210715E13,-1.5659945312594631E12,2.6339258018398196E7
319,-2.1810344788519527E13,-1.5708286644074602E12,2.6396044594381303E7
320,-2.1878480613745934E13,-1.5756627974054636E12,2.6452831168125458E7
321,-2.194661643690292E13,-1.580496930254416E12,2.6509617739645824E7
322,-2.2014752258003363E13,-1.585331062955251E12,2.6566404308957417E7
323,-2.2082888077060004E13,-1.5901651955088936E12,2.6623190876075104E7
324,-2.2151023894085477E13,-1.5949993279162603E12,2.66799774410136E7
325,-2.221915970909229E13,-1.5998334601782588E12,2.6736764003787484E7
326,-2.2287295522092844E13,-1.6046675922957886E12,2.6793550564411186E7
327,-2.2355431333099426E13,-1.6095017242697407E12,2.6850337122898996E7
328,-2.2423567142124207E13,-1.614335856100998E12,2.6907123679265063E7
329,-2.2491702949179246E13,-1.6191699877904353E12,2.69639102335234E7
330,-2.2559838754276492E13,-1.6240041193389192E12,2.7020696785687882E7
331,-2.2627974557427793E13,-1.6288382507473086E12,2.7077483335772254E7
332,-2.269611035864488E13,-1.6336723820164543E12,2.713426988379012E7
333,-2.2764246157939383E13,-1.6385065131472E12,2.7191056429754965E7
334,-2.283238195532283E13,-1.6433406441403809E12,2.724784297368014E7
335,-2.2900517750806637E13,-1.6481747749968252E12,2.730462951557886E7
336,-2.296865354440213E13,-1.6530089057173535E12,2.7361416055464223E7
337,-2.3036789336120523E13,-1.657843036302779E12,2.7418202593349203E7
338,-2.3104925125972938E13,-1.6626771667539077E12,2.747498912924665E7
339,-2.317306091397039E13,-1.6675112970715386E12,2.7531775663169287E7
340,-2.324119670012381E13,-1.6723454272564631E12,2.7588562195129726E7
341,-2.330933248444402E13,-1.677179557309466E12,2.7645348725140456E7
342,-2.3377468266941754E13,-1.682013687231325E12,2.770213525321385E7
343,-2.344560404762765E13,-1.6868478170228108E12,2.775892177936216E7
344,-2.351373982651225E13,-1.6916819466846877E12,2.7815708303597532E7
345,-2.358187560360601E13,-1.6965160762177131E12,2.7872494825932E7
346,-2.3650011378919293E13,-1.7013502056226377E12,2.7929281346377477E7
347,-2.371814715246237E13,-1.7061843349002056E12,2.7986067864945777E7
348,-2.3786282924245426E13,-1.7110184640511545E12,2.8042854381648596E7
349,-2.385441869427856E13,-1.715852593076216E12,2.8099640896497533E7
350,-2.3922554462571777E13,-1.7206867219761152E12,2.815642740950407E7
351,-2.3990690229135004E13,-1.7255208507515708E12,2.8213213920679595E7
352,-2.4058825993978082E13,-1.7303549794032954E12,2.8270000430035383E7
353,-2.4126961757110766E13,-1.7351891079319956E12,2.8326786937582612E7
354,-2.4195097518542727E13,-1.7400232363383718E12,2.838357344333236E7
355,-2.426323327828356E13,-1.7448573646231187E12,2.84403599472956E7
